Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Centro Deportivo Municipal Fabián Roncero,Principales espacios de deporte,AVENIDA SEPTIMA 68,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5327.770283680366
Centro Deportivo Municipal Faustina Valladolid (antiguo Valdebernardo),Principales espacios de deporte,CALLE LADERA DE LOS ALMENDROS 2,221 - Pavones,Calle Hacienda de Pavones nº 342,1371.143202764583
Centro Deportivo Municipal Fernando Martín,Principales espacios de deporte,AVENIDA SANTO ANGEL DE LA GUARDA 6,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,661.1421889756093
Centro Deportivo Municipal Francisco Fernández Ochoa,Principales espacios de deporte,CALLE CATORCE OLIVAS 1,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4514.686000956978
Centro Deportivo Municipal Fuente del Berro,Principales espacios de deporte,CALLE ELVIRA 36,182 - Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,344.886097005229
Centro Deportivo Municipal Félix Rubio,Principales espacios de deporte,CALLE ALIANZA 4,235 - Embajadores 191,Calle Sodio nº 1B,3545.5864708353292
Centro Deportivo Municipal Gallur,Principales espacios de deporte,CALLE GALLUR 2,224 - Caramuel,Calle Caramuel nº 51,1412.3870843197867
Centro Deportivo Municipal Gimnasio Moscardó,Principales espacios de deporte,CALLE PILAR DE ZARAGOZA 93,195 - Avenida de América 1,Calle Padre Indalecio Hernández nº 1,176.79219965565147
Centro Deportivo Municipal Hortaleza,Principales espacios de deporte,CARRETERA ESTACION DE HORTALEZA 11,254 - Pío XII,Avenida Pío XII nº 3,3401.042269739842
Centro Deportivo Municipal José María Cagigal,Principales espacios de deporte,CALLE SANTA POLA 22,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,1087.944718548435
Centro Deportivo Municipal Juan de Dios Román,Principales espacios de deporte,CALLE JOSE GUTIERREZ MAROTO 34,221 - Pavones,Calle Hacienda de Pavones nº 342,5217.353213182909
Centro Deportivo Municipal La Almudena,Principales espacios de deporte,CALLE NICOLAS SALMERÓN 8,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1392.8161362959736
Centro Deportivo Municipal La Bombilla,Principales espacios de deporte,CALLE SENDA DEL REY 8,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,734.3614490265928
Centro Deportivo Municipal La Cebada (antigua La Latina),Principales espacios de deporte,PLAZA CEBADA 15,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,102.88226311264928
Centro Deportivo Municipal La Chopera,Principales espacios de deporte,PASEO FERNAN NUÑEZ 3,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,407.6301863959953
Centro Deportivo Municipal La Elipa,Principales espacios de deporte,CALLE ALCALDE GARRIDO JUARISTI 17,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,470.3073356238316
Centro Deportivo Municipal La Fundi,Principales espacios de deporte,CALLE ALICANTE 14,176 - Beata,Calle Alicante nº 3,265.9956059059982
Centro Deportivo Municipal La Masó,Principales espacios de deporte,CALLE MASO 80 C/V Ventisquero de la Condesa,217 - Pedro Rico,Calle Pedro Rico nº 4,2919.5833848037396
Centro Deportivo Municipal Lago Casa de Campo,Principales espacios de deporte,PASEO EMBARCADERO 8,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,506.4067041699094
Centro Deportivo Municipal Las Cruces,Principales espacios de deporte,AVENIDA POBLADOS 72,224 - Caramuel,Calle Caramuel nº 51,4573.2952770925685
Centro Deportivo Municipal Los Prunos,Principales espacios de deporte,CALLE PETUNIAS 30,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3539.1409063088245
Centro Deportivo Municipal Luis Aragonés,Principales espacios de deporte,CALLE EL PROVENCIO 20,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3334.515092341956
Centro Deportivo Municipal Margot Moles (Vicálvaro),Principales espacios de deporte,PASEO POLIDEPORTIVO 3,221 - Pavones,Calle Hacienda de Pavones nº 342,3627.6624303105596
Centro Deportivo Municipal Marqués de Samaranch,Principales espacios de deporte,PASEO IMPERIAL 20,236 - Paseo Imperial,Paseo Imperial nº 20,18.296637915076452
Centro Deportivo Municipal Miguel Guillén Prim,Principales espacios de deporte,CALLE FUENTIDUEÑA 6 ESQUINA CALLE PUERTO PORZUNA,221 - Pavones,Calle Hacienda de Pavones nº 342,3218.9824628529905
Centro Deportivo Municipal Moratalaz,Principales espacios de deporte,CALLE VALDEBERNARDO 2,221 - Pavones,Calle Hacienda de Pavones nº 342,293.2576375501037
Centro Deportivo Municipal Moscardó,Principales espacios de deporte,CALLE ANDRES ARTEAGA 5,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,545.0755395976304
Centro Deportivo Municipal Orcasitas,Principales espacios de deporte,AVENIDA RAFAELA YBARRA 52,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2023.2655888491245
Centro Deportivo Municipal Orcasur,Principales espacios de deporte,CALLE MOREJA 11,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2086.487731147382
Centro Deportivo Municipal Pabellón Villa de Madrid,Principales espacios de deporte,CALLE BREZOS 6 c/v calle Antonio Sancha,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6781.491470141548
Centro Deportivo Municipal Palomeras,Principales espacios de deporte,CALLE TRANVIA DE ARGANDA 4,221 - Pavones,Calle Hacienda de Pavones nº 342,1979.911106419438
Centro Deportivo Municipal Pepu Hernández,Principales espacios de deporte,AVENIDA NIZA 8,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3875.460909175086
Centro Deportivo Municipal Peñagrande,Principales espacios de deporte,AVENIDA MONFORTE DE LEMOS 184,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,2474.6463366154107
Centro Deportivo Municipal Peñuelas,Principales espacios de deporte,CALLE ARGANDA 25,174 - Madrid Río-Yeserías,Paseo de Yeserías nº 45,220.82500528692032
Centro Deportivo Municipal Plata y Castañar,Principales espacios de deporte,PASEO PLATA Y CASTAÑAR 7,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4763.994358798469
Centro Deportivo Municipal Playa Victoria,Principales espacios de deporte,CALLE HIERBABUENA 2,155 - San Germán 57,Calle San Germán nº 57,256.15811857737094
Centro Deportivo Municipal Pradillo,Principales espacios de deporte,CALLE PRADILLO 33,196 - Prosperidad,Calle Suero de Quiñones nº 2,678.2316697185051
Centro Deportivo Municipal Pueblo Nuevo,Principales espacios de deporte,CALLE FRANCISCO RIOJA 14,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,276.5342488470663
Centro Deportivo Municipal Raúl González,Principales espacios de deporte,CALLE BENIMAMET 137,235 - Embajadores 191,Calle Sodio nº 1B,4837.889807200743
Centro Deportivo Municipal San Blas,Principales espacios de deporte,CALLE ARCOS DE JALON 59,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3310.6028836264463
Centro Deportivo Municipal San Cristóbal,Principales espacios de deporte,PLAZA PINAZO 9,235 - Embajadores 191,Calle Sodio nº 1B,5187.295733117543
Centro Deportivo Municipal San Fermín,Principales espacios de deporte,CALLE SAN MARIO 18,235 - Embajadores 191,Calle Sodio nº 1B,1575.0454702973022
Centro Deportivo Municipal San Juan Bautista,Principales espacios de deporte,CALLE TREVIANA 1,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2,625.7823377371
Centro Deportivo Municipal Santa Ana,Principales espacios de deporte,PASEO ALAMEDILLAS 5,217 - Pedro Rico,Calle Pedro Rico nº 4,2088.2017833272803
Centro Deportivo Municipal Tenis Casa de Campo,Principales espacios de deporte,CAMINO PRINCIPE 2,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,1189.5260694857827
Centro Deportivo Municipal Triángulo de Oro,Principales espacios de deporte,CALLE BRAVO MURILLO 376,209 - Plaza de Castilla 2,Paseo Castellana (Fundación Canal),455.800762204227
Centro Deportivo Municipal Vallecas,Principales espacios de deporte,CALLE ARROYO DEL OLIVAR 51,226 - Sierra Toledana,Camino de Valderribas nº 94,1041.3482229900512
Centro Deportivo Municipal Vallehermoso,Principales espacios de deporte,AVENIDA FILIPINAS 7,202 - Parque Santander,Calle Santander esquina con Avenida de Filipinas,121.21437899344458
Centro Deportivo Municipal Vicente del Bosque,Principales espacios de deporte,AVENIDA MONFORTE DE LEMOS 13,217 - Pedro Rico,Calle Pedro Rico nº 4,615.8822472952542
Centro Deportivo Municipal Wilfred Agbonavbare (antiguo Alberto García),Principales espacios de deporte,"CALLE REGUERA DE TOMATEROS, 39B ",227 - Concordia,Calle Arroyo del Olivar nº 6,2564.223546668245
Centro Deportivo Municipal Ángel Nieto (antiguo Puente de Vallecas),Principales espacios de deporte,CALLE PAYASO FOFO 7,227 - Concordia,Calle Arroyo del Olivar nº 6,726.8635356634735
Centro de Alto Rendimiento del Consejo Superior de Deportes,Principales espacios de deporte,CALLE MARTIN FIERRO 5,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,326.0825296815222
Centro de Natación Mundial 86 (M - 86),Principales espacios de deporte,CALLE JOSE MARTINEZ DE VELASCO 3,72 - Sainz de Baranda,Calle Doctor Esquerdo nº 99,222.9704739330711
Club Deportivo Somontes,Principales espacios de deporte,CARRETERA EL PARDO 43,261 - Facultad Derecho,Avenida Complutense nº 23,5540.203057511628
Club de Campo Villa de Madrid,Principales espacios de deporte,CARRETERA CASTILLA 12,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,1414.5684120188887
Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Principales espacios de deporte,CARRETERA EL PARDO 41,261 - Facultad Derecho,Avenida Complutense nº 23,4839.266026799818
Complejo de campos de Fútbol Ernesto Cotorruelo,Principales espacios de deporte,CALLE VIA LUSITANA 5,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2074.7879280266347
Espacio Polivalente Embajadores,Principales espacios de deporte,CALLE EMBAJADORES 18,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,238.02687464646166
Estadio Cívitas Metropolitano Madrid,Principales espacios de deporte,AVENIDA LUIS ARAGONES 4,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,4475.113683487627
Estadio Santiago Bernabéu,Principales espacios de deporte,AVENIDA CONCHA ESPINA 1,149 - Paseo de la Habana 42,Paseo de la Habana nº 42,257.56292067643466
Estadio Vallehermoso (centro deportivo),Principales espacios de deporte,AVENIDA FILIPINAS 7,202 - Parque Santander,Calle Santander esquina con Avenida de Filipinas,119.09515851900662
Estadio de Vallecas,Principales espacios de deporte,AVENIDA ALBUFERA 114,226 - Sierra Toledana,Camino de Valderribas nº 94,791.700246405151
Hipódromo de la Zarzuela,Principales espacios de deporte,AVENIDA PADRE HUIDOBRO  s/n Carretera de La Coruña Km. 8,261 - Facultad Derecho,Avenida Complutense nº 23,3674.7232262508164
Instalación Deportiva  Básica Embalse de San Juan,Principales espacios de deporte,CALLE EMBALSE DE SAN JUAN 1,221 - Pavones,Calle Hacienda de Pavones nº 342,5844.28327726585
Instalación Deportiva Básica Alto del Retiro,Principales espacios de deporte,CALLE ALTO DEL RETIRO 13 c/v calle Antonio Gades,221 - Pavones,Calle Hacienda de Pavones nº 342,6330.202181472789
Instalación Deportiva Básica Avenida de Cerro Milano,Principales espacios de deporte,AVENIDA CERRO MILANO 1,221 - Pavones,Calle Hacienda de Pavones nº 342,3970.9661460476555
Instalación Deportiva Básica Avenida de las Suertes,Principales espacios de deporte,AVENIDA avenida de las Suertes ,221 - Pavones,Calle Hacienda de Pavones nº 342,4185.1036478013475
Instalación Deportiva Básica Avenida del Ensanche de Vallecas,Principales espacios de deporte,AVENIDA ENSANCHE DE VALLECAS 11,221 - Pavones,Calle Hacienda de Pavones nº 342,4185.1036478013475
Instalación Deportiva Básica Avenida del Mediterráneo,Principales espacios de deporte,INST. DEPORTIVA BASICA LUIS MITJANS ,84 - Valderribas,Calle Doctor Esquerdo nº 191,323.84670194986415
Instalación Deportiva Básica Camino de la Suerte,Principales espacios de deporte,CAMINO SUERTE 25,221 - Pavones,Calle Hacienda de Pavones nº 342,3343.315431974936
Instalación Deportiva Básica Circuito de Automodelismo,Principales espacios de deporte,CALLE NAVAMURES 2,221 - Pavones,Calle Hacienda de Pavones nº 342,3186.764528906674
Instalación Deportiva Básica Colonia Vilda,Principales espacios de deporte,CALLE PUENTELARRA 1 c/v Avda. Sta. Eugenia,221 - Pavones,Calle Hacienda de Pavones nº 342,3400.1257320163745
Instalación Deportiva Básica Eduardo Chillida,Principales espacios de deporte,CALLE EDUARDO CHILLIDA 1,221 - Pavones,Calle Hacienda de Pavones nº 342,6912.557518225088
Instalación Deportiva Básica La Unión,Principales espacios de deporte,"CALLE ENRIQUE GARCIA ALVAREZ 58 c/v Diego Olivera Victorio, 1",221 - Pavones,Calle Hacienda de Pavones nº 342,2896.0863523435114
Instalación Deportiva Básica Nuestra Señora de la Torre,Principales espacios de deporte,TRAVESIA PUERTO DE REINOSA 2,221 - Pavones,Calle Hacienda de Pavones nº 342,3193.071550549118
Instalación Deportiva Básica P.A.R. Castrillo de Aza,Principales espacios de deporte,AVENIDA SANTA EUGENIA 1,221 - Pavones,Calle Hacienda de Pavones nº 342,3296.252708233026
Instalación Deportiva Básica Pabellón del Cementerio,Principales espacios de deporte,CALLE PICO DE LA CIERVA ,221 - Pavones,Calle Hacienda de Pavones nº 342,2895.71041068824
Instalación Deportiva Básica Parkour,Principales espacios de deporte,AVENIDA LA GAVIA 39,221 - Pavones,Calle Hacienda de Pavones nº 342,4111.677402346201
Instalación Deportiva Básica Parque Real de Arganda,Principales espacios de deporte,CALLE REAL DE ARGANDA 45,221 - Pavones,Calle Hacienda de Pavones nº 342,3182.0972461056767
Instalación Deportiva Básica Parque Santa Eugenia,Principales espacios de deporte,CALLE ZAZUAR 12,221 - Pavones,Calle Hacienda de Pavones nº 342,3604.6839902428223
Instalación Deportiva Básica Parque Villa de Vallecas,Principales espacios de deporte,CALLE PUERTO DE PORZUNA 50,221 - Pavones,Calle Hacienda de Pavones nº 342,3238.308259795694
Instalación Deportiva Básica Parque del Cementerio,Principales espacios de deporte,CALLE MONTES DE BARBANZA 15,221 - Pavones,Calle Hacienda de Pavones nº 342,3150.325458843286
Instalación Deportiva Básica Parroquia Santa Eugenia,Principales espacios de deporte,CALLE VIRGEN DE LAS VI&amp;Ntilde;AS 15,221 - Pavones,Calle Hacienda de Pavones nº 342,3703.8134254761676
Instalación Deportiva Básica Peñaranda de Bracamonte,Principales espacios de deporte,CALLE PEÑARANDA DE BRACAMONTE 4,221 - Pavones,Calle Hacienda de Pavones nº 342,4389.001389073907
Instalación Deportiva Básica Pista de Patinaje,Principales espacios de deporte,CALLE PUERTO DE PORZUNA,221 - Pavones,Calle Hacienda de Pavones nº 342,3238.308259795694
Instalación Deportiva Básica Poza de la Sal,Principales espacios de deporte,CALLE POZA DE LA SAL 2,221 - Pavones,Calle Hacienda de Pavones nº 342,4244.750554289277
Instalación Deportiva Básica Puentelarra,Principales espacios de deporte,CALLE PUENTELARRA 12,221 - Pavones,Calle Hacienda de Pavones nº 342,3419.4136948737882
Instalación Deportiva Básica Puerto Lumbreras,Principales espacios de deporte,INST. DEPORTIVA BASICA POZA DE LA SAL ,221 - Pavones,Calle Hacienda de Pavones nº 342,4228.823110350711
Instalación Deportiva Básica Rocódromo,Principales espacios de deporte,AVENIDA LA GAVIA 4 c/v Avenida Cerro Milano,221 - Pavones,Calle Hacienda de Pavones nº 342,3882.914968521874
Instalación Deportiva Básica Santa Eugenia,Principales espacios de deporte,CALLE CERRO DE ALMODOVAR 11,221 - Pavones,Calle Hacienda de Pavones nº 342,4327.890423737892
Instalación Deportiva Básica Skate Real de Arganda,Principales espacios de deporte,CALLE REAL DE ARGANDA 49,221 - Pavones,Calle Hacienda de Pavones nº 342,3182.0972461056767
Instalación Deportiva Básica Stela Maris,Principales espacios de deporte,CALLE PEÑARANDA DE BRACAMONTE 4,221 - Pavones,Calle Hacienda de Pavones nº 342,4389.001389073907
Instalación Deportiva Canal de Isabel II,Principales espacios de deporte,AVENIDA FILIPINAS 54,131 - Bravo Murillo 44,Calle Bravo Murillo nº 44,127.68515609646373
Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez,Principales espacios de deporte,AVENIDA ABRANTES 297,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3296.3574288174764
Instalación Deportiva Municipal Básica Alameda de Osuna I,Principales espacios de deporte,CALLE BALANDRO 1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6115.159739153279
Instalación Deportiva Municipal Básica Alas,Principales espacios de deporte,CALLE ALAS 2,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,7820.984670453576
Instalación Deportiva Municipal Básica Albaicín,Principales espacios de deporte,CALLE ALBAICIN 19 Orcasur,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2324.898156774045
Instalación Deportiva Municipal Básica Albaida,Principales espacios de deporte,CALLE ALBAIDA S/N Parque de San Blas,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2344.516581969323
Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga,Principales espacios de deporte,CALLE ALCALDE MARTIN DE ALZAGA S/N,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1140.847104955196
Instalación Deportiva Municipal Básica Alerce,Principales espacios de deporte,CALLE ALERCE 31 Junto M-40,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2710.6895876405224
Instalación Deportiva Municipal Básica Alfonso XIII,Principales espacios de deporte,"AVENIDA ALFONSO XIII 136 c/v Santa María Magdalena, 2",160 - Colombia,Calle Colombia nº 7,856.0248837831684
Instalación Deportiva Municipal Básica Alhaurín,Principales espacios de deporte,CALLE ALHAURIN 4,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,7802.203940669906
Instalación Deportiva Municipal Básica Alicún,Principales espacios de deporte,CALLE ALICUN 24,252 - Chamartín,Calle Rodríguez Jaén nº 40,2663.502914122052
Instalación Deportiva Municipal Básica Aliseda,Principales espacios de deporte,CALLE ALISEDA c/v Real Betis,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3750.7864633788895
Instalación Deportiva Municipal Básica Almudena,Principales espacios de deporte,CALLE NICOLAS SALMERON 8,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1730.31877313766
Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso),Principales espacios de deporte,CALLE AJOFRIN s/n,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1769.297835596248
Instalación Deportiva Municipal Básica Americio,Principales espacios de deporte,CALLE AMERICIO s/n,235 - Embajadores 191,Calle Sodio nº 1B,3772.38000341587
Instalación Deportiva Municipal Básica Ana Tutor,Principales espacios de deporte,AVENIDA CARDENAL HERRERA ORIA 216,217 - Pedro Rico,Calle Pedro Rico nº 4,1109.9988631633312
Instalación Deportiva Municipal Básica Andévalo,Principales espacios de deporte,CALLE ANDEVALO 6 Aparcamiento,227 - Concordia,Calle Arroyo del Olivar nº 6,2177.5753688422183
Instalación Deportiva Municipal Básica Anfevi,Principales espacios de deporte,CALLE HACIENDA DE PAVONES 127 Posterior,221 - Pavones,Calle Hacienda de Pavones nº 342,701.219741728267
Instalación Deportiva Municipal Básica Aniceto Marinas,Principales espacios de deporte,CALLE ANICETO MARINAS 106,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,953.2988972092305
Instalación Deportiva Municipal Básica Antonio Machado,Principales espacios de deporte,CALLE ANTONIO MACHADO 14 Posterior,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1613.8318703059344
Instalación Deportiva Municipal Básica Antonio Pirala,Principales espacios de deporte,CALLE ANTONIO PIRALA s/n,188 - Puente de Ventas,Avenida de Daroca nº 2,86.56903003698886
Instalación Deportiva Municipal Básica Arcaute,Principales espacios de deporte,AVENIDA INVIERNO 1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7335.68835731583
Instalación Deportiva Municipal Básica Arcos de Jalón,Principales espacios de deporte,CALLE ARCOS DE JALON s/n c/v Albericia,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2859.471643199631
Instalación Deportiva Municipal Básica Arequipa,Principales espacios de deporte,CALLE AREQUIPA 12,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3013.7213155305176
Instalación Deportiva Municipal Básica Arganda,Principales espacios de deporte,CALLE ARGANDA 10,174 - Madrid Río-Yeserías,Paseo de Yeserías nº 45,344.91467294960495
Instalación Deportiva Municipal Básica Arjona,Principales espacios de deporte,CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 11,224 - Caramuel,Calle Caramuel nº 51,2465.255780390484
Instalación Deportiva Municipal Básica Arriaga,Principales espacios de deporte,AVENIDA DAROCA 95,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,548.7709148438468
Instalación Deportiva Municipal Básica Arroyo Belincoso,Principales espacios de deporte,AVENIDA DOCTOR GARCIA TAPIA 76 c/v calle Arroyo Belincoso,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,655.7445248384402
Instalación Deportiva Municipal Básica Arroyo Fontarrón,Principales espacios de deporte,CALLE ARROYO FONTARRON 381,221 - Pavones,Calle Hacienda de Pavones nº 342,574.017692493737
Instalación Deportiva Municipal Básica Arroyo Media Legua,Principales espacios de deporte,INST. DEPORTIVA BASICA ARROYO DE LA MEDIA LEGUA ,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,490.70343391423444
Instalación Deportiva Municipal Básica Arroyo de Opañel,Principales espacios de deporte,CALLE ARROYO OPAÑEL 12,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1094.9973863960574
Instalación Deportiva Municipal Básica Aster,Principales espacios de deporte,AVENIDA ASTER 54 Posterior,160 - Colombia,Calle Colombia nº 7,1274.735979796484
Instalación Deportiva Municipal Básica Auditorio de Chamartín,Principales espacios de deporte,PLAZA JOAQUIN RODRIGO 1,146 - María Francisca 1,Calle María Francisca nº 1,222.00642438019378
Instalación Deportiva Municipal Básica Auditorio de Moratalaz,Principales espacios de deporte,CALLE HACIENDA DE PAVONES 209,221 - Pavones,Calle Hacienda de Pavones nº 342,302.83898999878824
Instalación Deportiva Municipal Básica Avenida Moratalaz M-30,Principales espacios de deporte,"CALLE RAMON ARECES 1 frente Avda. Moratalaz, 13",218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,589.3359507559766
Instalación Deportiva Municipal Básica Avenida San Luis I,Principales espacios de deporte,AVENIDA SAN LUIS (frente al nº 86),254 - Pío XII,Avenida Pío XII nº 3,2749.263924345469
Instalación Deportiva Municipal Básica Avenida de Burgos,Principales espacios de deporte,AVENIDA BURGOS 18,252 - Chamartín,Calle Rodríguez Jaén nº 40,1051.1326624253495
Instalación Deportiva Municipal Básica Ayacucho,Principales espacios de deporte,CALLE NEVADO DEL RUIZ 2,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3281.5219253029813
Instalación Deportiva Municipal Básica Bacares,Principales espacios de deporte,CALLE BACARES 9,254 - Pío XII,Avenida Pío XII nº 3,2414.2213507829088
Instalación Deportiva Municipal Básica Bacares (fútbol),Principales espacios de deporte,CALLE BACARES 27,252 - Chamartín,Calle Rodríguez Jaén nº 40,2333.2058322829503
Instalación Deportiva Municipal Básica Bahía de Santander II,Principales espacios de deporte,CALLE BAHIA DE SANTANDER 64,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6552.593747799649
Instalación Deportiva Municipal Básica Barceló,Principales espacios de deporte,PLAZA BARCELO S/N,54 - Barceló,Calle Barceló nº 7,116.48425432129048
Instalación Deportiva Municipal Básica Barrio El Querol - Spartak de Manoteras,Principales espacios de deporte,CALLE TIJOLA 1,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,2910.4012168560766
Instalación Deportiva Municipal Básica Barrio Goya,Principales espacios de deporte,CALLE SEPULVEDA 9,224 - Caramuel,Calle Caramuel nº 51,1219.8579897136367
Instalación Deportiva Municipal Básica Barrio IV,Principales espacios de deporte,CALLE LUIS DE HOYOS SAINZ 150,221 - Pavones,Calle Hacienda de Pavones nº 342,269.0392872266203
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas,Principales espacios de deporte,CAMINO MONTORO 4,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,4449.882477040766
Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete,Principales espacios de deporte,CALLE HOSPITALET DE LLOBREGAT 11,217 - Pedro Rico,Calle Pedro Rico nº 4,1648.2414667735982
Instalación Deportiva Municipal Básica Barrio del Aeropuerto,Principales espacios de deporte,CALLE MEDINA DE POMAR 14,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6748.986561427448
Instalación Deportiva Municipal Básica Baterías - Barrio Alegría,Principales espacios de deporte,"CALLE JUAN PÉREZ ZÚÑIGA s/n Baterías, 2",230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,275.3627776240551
Instalación Deportiva Municipal Básica Belzunegui,Principales espacios de deporte,CALLE BELZUNEGUI  c/v Berrioplana,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3612.871948415585
Instalación Deportiva Municipal Básica Bolera de la Mancha,Principales espacios de deporte,CALLE TOMELLOSO 21 Próximo a la Av. de Córdoba (P.D. Almendral),213 - Glorieta de Cádiz,Calle Antonio López nº 129,939.3409681292757
Instalación Deportiva Municipal Básica Boston,Principales espacios de deporte,CALLE BOSTON 1,241 - Camilo José Cela,Avenida de Camilo José Cela nº 23,134.8586375816096
Instalación Deportiva Municipal Básica Brasil - General Yagüe,Principales espacios de deporte,AVENIDA BRASIL 19 c/v C/ General Yagüe,238 - San Germán 5,Calle San Germán nº 5,149.06159380430884
Instalación Deportiva Municipal Básica Briviesca,Principales espacios de deporte,CALLE BRIVIESCA 4,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,2107.380349559989
Instalación Deportiva Municipal Básica Brujas,Principales espacios de deporte,CALLE BRUJAS 32 esquina C/ Hacienda de Pavones,221 - Pavones,Calle Hacienda de Pavones nº 342,712.4201277129629
Instalación Deportiva Municipal Básica Brunete,Principales espacios de deporte,CALLE BRUNETE 1,261 - Facultad Derecho,Avenida Complutense nº 23,8823.964144662968
Instalación Deportiva Municipal Básica Bucaramanga,Principales espacios de deporte,AVENIDA BUCARAMANGA  c/v Mar Adriático,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3328.610185049802
Instalación Deportiva Municipal Básica Burgo de Osma,Principales espacios de deporte,CALLE BURGO DE OSMA 5,254 - Pío XII,Avenida Pío XII nº 3,1888.6439712405975
Instalación Deportiva Municipal Básica C. F. Nuestra Señora del Buen Camino,Principales espacios de deporte,GLORIETA RIO ZANCARA 1,261 - Facultad Derecho,Avenida Complutense nº 23,5607.62725437369
Instalación Deportiva Municipal Básica Calanda,Principales espacios de deporte,CALLE CALANDA 30,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2248.582518315253
Instalación Deportiva Municipal Básica Caleruega,Principales espacios de deporte,CALLE CALERUEGA 52,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,1542.5779116106803
Instalación Deportiva Municipal Básica Camino Viejo de Leganés,Principales espacios de deporte,CALLE CAMINO VIEJO DE LEGANES S/N Carrero Juan Ramón,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2513.86178228657
Instalación Deportiva Municipal Básica Campo Aragón,Principales espacios de deporte,AVENIDA RAFAEL ALBERTI 2,221 - Pavones,Calle Hacienda de Pavones nº 342,935.500419764518
