Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Instalación Deportiva Municipal Básica Sanchinarro I,Principales espacios de deporte,CALLE Infanta Catalina Micaela 33 c/v Infanta Catalina Micaela,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3924.37131822136
Instalación Deportiva Municipal Básica Sanchinarro II,Principales espacios de deporte,CALLE Infanta Catalina Micaela 23 c/v Infanta Catalina Micaela y junto C.P. Adolfo Suárez,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3924.37131822136
Instalación Deportiva Municipal Básica Sanchinarro III,Principales espacios de deporte,CALLE MARIA TUDOR 10,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3106.8013136451927
Instalación Deportiva Municipal Básica Sanchinarro IV,Principales espacios de deporte,AVENIDA NICETO ALCALA ZAMORA 12,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,4572.9311266217255
Instalación Deportiva Municipal Básica Sanchorreja,Principales espacios de deporte,CALLE SANCHORREJA 8,224 - Caramuel,Calle Caramuel nº 51,3199.5181108901807
Instalación Deportiva Municipal Básica Sangenjo,Principales espacios de deporte,CALLE SANGENJO 42,217 - Pedro Rico,Calle Pedro Rico nº 4,1418.7761208346412
Instalación Deportiva Municipal Básica Santa Ana I,Principales espacios de deporte,CALLE HOSPITALET DE LLOBREGAT 11 c/v Travesía Hospitalet de Llobregat,217 - Pedro Rico,Calle Pedro Rico nº 4,1648.4059564433023
Instalación Deportiva Municipal Básica Santa Ana II,Principales espacios de deporte,PASEO ALAMEDILLAS 2,217 - Pedro Rico,Calle Pedro Rico nº 4,1982.888471264424
Instalación Deportiva Municipal Básica Santa Eugenia,Principales espacios de deporte,CALLE CERRO DE ALMODOVAR 11,221 - Pavones,Calle Hacienda de Pavones nº 342,4327.890423737892
Instalación Deportiva Municipal Básica Santa Hortensia,Principales espacios de deporte,CALLE SANTA HORTENSIA 34,251 - Corazón de María,Calle Santa Hortensia nº 31,208.5754665338323
Instalación Deportiva Municipal Básica Santa Petronila,Principales espacios de deporte,CARRETERA ANDALUCIA S/N SANTA PETRONILA,235 - Embajadores 191,Calle Sodio nº 1B,4560.986695043732
